ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.7825e+07)","Runtime Improvement""""(3.52359e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
1268,19.82,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,114.34,22.66,47.01,84.73,38,"10988,    2,    1","  256,    1,    1"
39,19.80,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,29.02,5.75,51.88,83.75,40," 2750,    2,    1","  256,    1,    1"
1274,19.78,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,114.37,22.62,46.83,84.64,38,"10988,    2,    1","  256,    1,    1"
1266,19.75,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,113.60,22.43,46.81,85.27,38,"10988,    2,    1","  256,    1,    1"
1276,19.70,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,113.34,22.33,46.72,85.47,38,"10988,    2,    1","  256,    1,    1"
62,19.68,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,31.58,6.21,45.37,80.32,38," 2750,    2,    1","  256,    1,    1"
829,19.67,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.82,1.34,37.75,36.93,38,"    1,    4,  256","  256,    1,    1"
78,19.65,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,31.58,6.21,45.99,80.35,38," 2750,    2,    1","  256,    1,    1"
1296,19.64,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,115.90,22.76,46.97,83.58,38,"10988,    2,    1","  256,    1,    1"
94,19.63,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,31.65,6.21,45.32,80.37,38," 2750,    2,    1","  256,    1,    1"
1237,19.61,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.44,20.68,52.40,90.72,40,"10988,    2,    1","  256,    1,    1"
1292,19.61,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,113.76,22.31,47.33,85.12,38,"10988,    2,    1","  256,    1,    1"
1197,19.60,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.28,20.64,52.38,90.91,40,"10988,    2,    1","  256,    1,    1"
1074,19.59,nchwToFoldedNhwcKernel,..nchwToFoldedNhwcKernel<__half..float..const..T3..cudnn::reduced_divisor..,36.99,7.25,70.56,66.85,38," 2750,    2,    1","   32,    8,    1"
1201,19.57,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.57,20.66,52.41,90.66,40,"10988,    2,    1","  256,    1,    1"
1272,19.57,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,113.89,22.29,46.79,85.05,38,"10988,    2,    1","  256,    1,    1"
1193,19.57,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.38,20.62,52.34,90.81,40,"10988,    2,    1","  256,    1,    1"
1225,19.57,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.34,20.62,52.42,90.92,40,"10988,    2,    1","  256,    1,    1"
1249,19.57,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.34,20.62,52.45,90.85,40,"10988,    2,    1","  256,    1,    1"
1173,19.56,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.18,20.58,52.51,91.00,40,"10988,    2,    1","  256,    1,    1"
1288,19.56,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,115.14,22.52,46.95,84.06,38,"10988,    2,    1","  256,    1,    1"
1233,19.55,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.50,20.63,52.23,90.70,40,"10988,    2,    1","  256,    1,    1"
1036,19.55,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.59,16.93,68.93,54.87,22,"10988,    1,    1","   32,    8,    1"
1000,19.54,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.62,16.93,68.85,54.83,22,"10988,    1,    1","   32,    8,    1"
1205,19.54,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.47,20.61,52.36,90.79,40,"10988,    2,    1","  256,    1,    1"
1064,19.54,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.40,16.88,68.90,55.05,22,"10988,    1,    1","   32,    8,    1"
1072,19.54,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.27,16.85,68.86,55.11,22,"10988,    1,    1","   32,    8,    1"
1181,19.53,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.50,20.61,52.33,90.72,40,"10988,    2,    1","  256,    1,    1"
1213,19.53,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.50,20.60,52.29,90.72,40,"10988,    2,    1","  256,    1,    1"
1209,19.53,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.44,20.59,52.29,90.73,40,"10988,    2,    1","  256,    1,    1"
1048,19.53,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.34,16.86,68.86,55.09,22,"10988,    1,    1","   32,    8,    1"
1004,19.52,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.62,16.91,68.81,54.86,22,"10988,    1,    1","   32,    8,    1"
1177,19.52,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,105.70,20.63,52.33,90.54,40,"10988,    2,    1","  256,    1,    1"
1068,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.40,16.86,68.83,55.05,22,"10988,    1,    1","   32,    8,    1"
1056,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.27,16.83,68.84,55.12,22,"10988,    1,    1","   32,    8,    1"
1008,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.53,16.88,68.89,54.96,22,"10988,    1,    1","   32,    8,    1"
1028,19.51,foldedNhwcToNchwKernel,..foldedNhwcToNchwKernel<__half..float..const..T3..cudnn::reduced_divisor..,86.34,16.84,68.85,55.07,22,"10988,    1,    1","   32,    8,    1"
